#	<x>	stDevX	<E>	stDevE
0	0.140913	-nan	-0.298915	-nan
1	0.0404649	0.0906891	0.276912	0.0110016
2	0.0593525	0.113482	0.212631	0.0898627
3	0.167657	0.176837	0.285626	0.206224
4	0.184818	0.237282	0.301396	0.31106
5	0.21072	0.299605	0.262807	0.387755
6	0.226337	0.360517	0.215298	0.439423
7	0.254489	0.424892	0.2854	0.509689
8	0.191275	0.46387	0.251122	0.563258
9	0.209432	0.505638	0.0877846	0.564018
10	0.251095	0.55672	0.114934	0.573521
11	0.269128	0.609618	0.132122	0.587904
12	0.257888	0.656466	0.167485	0.611441
13	0.307146	0.713568	0.198606	0.642099
14	0.237291	0.750329	0.206303	0.673376
15	0.199474	0.776407	0.233504	0.70997
16	0.241427	0.811508	0.299125	0.760504
17	0.210481	0.838225	0.300229	0.80913
18	0.204046	0.862693	0.296011	0.854865
19	0.218503	0.889638	0.247509	0.88832
20	0.219497	0.916029	0.274279	0.926407
21	0.237322	0.945418	0.301551	0.968948
22	0.180807	0.962466	0.319646	1.01382
23	0.169254	0.976915	0.325099	1.05837
24	0.155911	0.988561	0.325027	1.10158
25	0.143564	0.997749	0.330315	1.14458
26	0.140983	1.00645	0.328021	1.18596
27	0.128063	1.01276	0.337996	1.22812
28	0.111743	1.01617	0.349974	1.27138
29	0.126753	1.02243	0.3671	1.31665
30	0.114744	1.02664	0.374928	1.36221
31	0.143653	1.03599	0.395982	1.41035
32	0.155513	1.04733	0.408686	1.45955
33	0.163379	1.05989	0.419536	1.50947
34	0.144838	1.06922	0.42142	1.55861
35	0.145686	1.07864	0.41503	1.60564
36	0.130365	1.08552	0.42752	1.65373
37	0.153308	1.09607	0.447722	1.70409
38	0.136343	1.10385	0.449754	1.75377
39	0.131346	1.11083	0.445684	1.80186
40	0.136749	1.11864	0.454402	1.8504
41	0.134391	1.12606	0.460926	1.89906
42	0.153067	1.13627	0.474145	1.94884
43	0.13968	1.14441	0.479247	1.99851
44	0.147726	1.15369	0.451404	2.04323
45	0.148293	1.16299	0.445537	2.08637
46	0.134538	1.17023	0.448527	2.12927
47	0.130753	1.17692	0.449414	2.17164
48	0.121945	1.18234	0.453168	2.2139
49	0.128943	1.18875	0.458076	2.25624
50	0.121229	1.19409	0.445451	2.29622
51	0.125203	1.19997	0.452464	2.33661
52	0.117359	1.20478	0.453669	2.37662
53	0.121143	1.21012	0.461373	2.41713
54	0.113441	1.21443	0.464915	2.45758
55	0.109957	1.2183	0.459345	2.49677
56	0.10196	1.22114	0.460589	2.53564
57	0.0932335	1.22289	0.458017	2.57369
58	0.0839104	1.2235	0.455294	2.61094
59	0.0745032	1.22297	0.460465	2.64841
60	0.0860763	1.224	0.466014	2.68615
61	0.0738864	1.22356	0.476313	2.72476
62	0.072163	1.22299	0.477332	2.76306
63	0.0723806	1.22253	0.479229	2.80117
64	0.0728496	1.2222	0.480499	2.83901
65	0.0806447	1.2229	0.481217	2.87654
66	0.093631	1.22523	0.488945	2.91461
67	0.0996543	1.22832	0.49038	2.95245
68	0.101211	1.23162	0.491485	2.99003
69	0.0955648	1.23426	0.492137	3.02731
70	0.0920807	1.23651	0.492698	3.06428
71	0.0937643	1.23899	0.493171	3.10094
72	0.0961729	1.24177	0.487056	3.13654
73	0.0995592	1.24496	0.474712	3.17038
74	0.0879485	1.24684	0.47308	3.20372
75	0.0766688	1.24745	0.479078	3.23745
76	0.0796695	1.24845	0.480295	3.27101
